x0,x1,Start,Duration
-3.5301,-2.4870,759.2571,49.2445
-5.5839,-2.6092,760.0310,38.4023
-4.2604,-2.3597,760.0862,45.1993
-3.4174,-1.8456,760.8199,63.0865
-4.0916,-2.2378,761.2095,49.1566
-3.7902,-3.0353,762.1633,34.6819
-4.1883,-2.2931,762.5152,47.2141
-4.2604,-2.1921,765.3662,49.0614
-2.7860,-4.2638,769.6254,35.3077
-3.7468,-2.2931,771.4961,50.9287
-3.8104,-3.5482,772.5446,24.5609
-2.7860,-3.0616,772.9436,49.9836
-3.3508,-1.7000,774.4218,66.3489
-4.1892,-1.7202,776.6845,59.8787
-3.5233,-3.0914,779.6566,37.2433
-4.0916,-2.2132,779.8323,49.7104
-4.0916,-2.3946,781.9265,45.6147
-4.0916,-1.5081,782.6985,64.7111
-4.9463,-2.2132,783.5449,46.2892
-4.0685,-1.9294,785.9697,56.1226
-3.6518,-2.2628,786.4781,52.5195
-4.2604,-2.2132,788.6868,48.5780
-4.2464,-2.2582,790.5066,47.6314
-3.1507,-2.8807,793.4822,46.8987
-4.6673,-2.2931,794.3942,44.8470
-3.9785,-3.2975,796.8452,27.0479
-3.7902,-2.8578,797.1056,38.3826
-3.2496,-3.5482,798.4333,33.8836
-4.2604,-2.2132,800.4275,48.5780
-4.2553,-1.4426,801.2969,65.2470
-4.0916,-1.8151,801.3353,58.4216
-3.3295,-2.3427,801.9511,54.5374
-4.0916,-1.4264,804.2254,66.3041
-2.7860,-4.2638,804.9331,35.3077
-3.7902,-3.6624,805.2855,22.9123
-3.9600,-1.7383,806.2370,60.8491
-2.7860,-4.2638,808.5016,35.3077
-3.8104,-3.5482,809.7293,24.5609
-4.2604,-2.6735,810.3661,37.9219
-4.2604,-2.3597,814.3107,45.1993
-3.8104,-2.3233,814.4276,49.6641
-3.2636,-3.0914,816.8998,41.2967
-3.7902,-3.0353,822.4248,34.6819
-4.2604,-2.7148,822.9272,36.9694
-3.7902,-3.0353,823.8931,34.6819
-2.1307,-4.2919,823.9064,50.2811
-3.8126,-2.2378,827.5413,51.4812
-4.0916,-1.7994,828.1978,58.7540
-2.7860,-5.0860,829.5427,32.4800
-3.7902,-3.0353,829.8341,34.6819
-4.0916,-2.2931,832.3168,47.9124
-4.0180,-3.3383,834.2902,25.7739
-4.2604,-3.1559,835.4882,27.0805
-3.8104,-3.5482,836.5633,24.5609
-4.1373,-3.5482,837.2647,20.4000
-4.2604,-2.2132,838.1380,48.5780
-3.8104,-3.5482,838.9976,24.5609
-3.7902,-3.9326,839.2411,18.7991
-3.9785,-3.2975,840.2408,27.0479
-4.2604,-2.3597,840.3809,45.1993
-3.8104,-3.5482,840.7706,24.5609
-3.1152,-4.0846,842.0923,29.6195
-3.8104,-3.8294,843.8093,19.9766
-3.4716,-3.5342,847.4096,30.1472
-3.7902,-2.8578,848.2880,38.3826
-3.8656,-2.8578,849.0055,37.5048
-4.0916,-2.2931,856.4885,47.9124
-2.7860,-4.2638,857.1067,35.3077
-3.9785,-3.5027,857.6648,23.1129
-4.2604,-3.2768,858.0402,24.5203
-3.6141,-2.3597,858.1966,50.9053
-3.7902,-2.9261,858.5750,36.9474
-3.4590,-2.2132,859.5101,55.5766
-3.4024,-3.5482,859.7569,31.1215
-4.6559,-3.5482,859.8966,16.3132
-4.2604,-2.7985,860.0641,35.0461
-3.8357,-2.8578,861.1242,37.8474
-3.7902,-3.6624,862.0227,22.9123
-3.9111,-2.8578,862.5687,36.9974
-4.6599,-4.3848,863.5585,3.8759
-3.7902,-2.8578,863.7859,38.3826
-4.6118,-3.5482,864.0917,16.5295
-3.4645,-2.8970,864.5161,41.8680
-3.7902,-3.9780,865.3316,18.1802
-4.2604,-2.9466,866.5439,31.6872
-2.8548,-3.8294,867.0861,37.9857
-4.6504,-3.9326,867.2886,9.6001
-3.8104,-3.5482,867.4344,24.5609
-4.6244,-4.0982,870.5295,7.3504
-4.1373,-3.5715,871.7118,19.9722
-4.0230,-1.8854,874.1875,57.3659
-4.2604,-2.3410,876.2098,45.6332
-4.2604,-2.3597,876.8887,45.1993
