x0,x1,Duration
-0.8037,-0.9150,15.9239
0.3912,0.7881,14.6583
0.7076,-0.3807,14.9749
1.3302,0.2308,14.5162
-1.0121,1.1950,15.0208
-0.5263,-2.0935,16.5235
-0.3015,0.6091,14.9813
-1.6646,-0.8408,16.5250
-0.6562,-0.3060,15.4875
0.1950,-0.3903,15.1620
0.0728,-1.4821,15.6616
-0.1212,1.2908,14.6861
-3.7092,-0.1046,16.9273
0.3472,-1.1095,15.3644
2.3124,1.6925,12.6672
2.1870,1.3122,13.2210
-0.7891,0.7094,15.1106
-2.2573,-1.3970,17.9032
1.0232,-1.5125,15.2164
-1.0093,2.1463,14.7805
0.6558,-1.5009,15.3607
2.5931,0.1785,14.0378
0.8721,-0.6342,15.0051
-0.3025,-2.6257,16.6251
0.2561,0.4212,14.8479
-1.1642,-0.1697,15.6585
-1.2996,-2.3204,17.8184
0.1145,-1.9047,15.8271
-0.8215,-0.9799,15.9805
1.3925,-0.8831,14.9256
-0.1759,1.1851,14.7431
2.7272,2.4984,10.9917
0.1696,-0.1537,15.0854
-0.7021,0.3442,15.2174
1.4806,1.8938,13.2959
0.1887,0.2643,14.9287
0.2210,-0.7315,15.2783
2.8676,0.5043,13.6296
0.0127,-0.6864,15.3506
-0.0866,-0.4954,15.3162
3.4822,0.1437,13.7451
0.6036,-0.2767,14.9745
-0.8934,0.9067,15.0762
1.2810,-0.2052,14.7230
2.0012,1.1736,13.5045
-0.3438,-3.3134,17.1047
1.5853,0.2675,14.3950
-1.0148,-1.1075,16.2248
-2.3769,-0.2909,16.4538
1.5862,-0.5945,14.7769
0.3278,-1.6533,15.5815
-0.9054,-0.7553,15.8847
0.3379,-1.1168,15.3714
2.0284,0.8608,13.7654
0.1494,-0.8157,15.3414
-0.1579,-1.4186,15.7798
0.2631,-0.3922,15.1370
0.8713,-0.2194,14.8636
-1.5906,1.1937,15.1779
-0.0963,-0.6592,15.3887
1.0496,0.8965,14.3037
0.0194,1.3117,14.6196
1.1784,3.0272,12.7271
-0.8673,-0.1586,15.5108
0.2772,0.8049,14.6983
-0.2936,-0.3216,15.3324
0.3589,0.9173,14.6211
-0.3430,-2.0837,16.3216
-1.5333,0.9854,15.2359
-0.0742,1.5418,14.5805
-1.9427,-0.1811,16.0833
-0.4785,-1.4348,16.0243
-0.0638,-0.8602,15.4597
0.6479,2.6662,13.5893
-1.4244,-1.6345,17.1686
-0.2034,0.1166,15.1231
2.1990,1.0009,13.5282
-0.0341,-2.8472,16.4302
-0.3403,-1.5714,15.9988
-1.1264,0.7561,15.2013
1.1624,-0.7185,14.9409
-3.8806,0.9065,15.8279
-1.1188,0.9509,15.1297
0.3613,-0.0059,14.9637
0.3655,2.3274,14.0075
-0.1557,0.8400,14.8512
0.1981,-0.8637,15.3384
-0.0061,-0.7651,15.3916
0.0609,-0.7933,15.3723
